"Source:","C:\Users\danst\Documents\Rockstar\Modular\designs\KiCad\breadboard-buddies\distortions series\ratstortion\song-naga-breadboard-buddies-ratstortion\ratt.kicad_sch"
"Date:","6/3/2022 3:20:34 PM"
"Tool:","Eeschema (6.0.1)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","33"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"C1, ","1","22n","C_Small","Capacitor_SMD:C_0805_2012Metric","Unpolarized capacitor, small symbol",""
"C2, C11, ","2","4.7uF","C_Polarized_US","Capacitor_SMD:C_0805_2012Metric","Polarized capacitor, US symbol",""
"C3, ","1","22nF","C_Small","Capacitor_SMD:C_0805_2012Metric","Unpolarized capacitor, small symbol",""
"C4, ","1","1nF","C_Small","Capacitor_SMD:C_0805_2012Metric","Unpolarized capacitor, small symbol",""
"C5, ","1","1uF","C_Small","Capacitor_SMD:C_0805_2012Metric","Unpolarized capacitor, small symbol",""
"C6, ","1","30pF","C_Small","Capacitor_SMD:C_0805_2012Metric","Unpolarized capacitor, small symbol",""
"C7, ","1","3.3nF","C_Small","Capacitor_SMD:C_0805_2012Metric","Unpolarized capacitor, small symbol",""
"C8, ","1","100pF","C_Small","Capacitor_SMD:C_0805_2012Metric","Unpolarized capacitor, small symbol",""
"C9, ","1","100nF","C_Small","Capacitor_SMD:C_0805_2012Metric","Unpolarized capacitor, small symbol",""
"C10, ","1","2.2uF","C_Polarized_US","Capacitor_SMD:C_0805_2012Metric","Polarized capacitor, US symbol",""
"D1, D2, ","2","D_Small","D_Small","Diode_SMD:D_MiniMELF","Diode, small symbol",""
"D3, ","1","SM5817","D_Zener","Diode_SMD:D_SOD-123F","Zener diode",""
"J1, J2, ","2","Conn_01x04_Male","Conn_01x04_Male","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","Generic connector, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"Q1, ","1","2N5457","MMBFJ112","Package_TO_SOT_SMD:SOT-23","5mA min, 35V, 50mOhm max, 1-5V Vgs(off), N-Channel JFET, SOT-23",""
"R1, R5, R6, ","3","1M","R_Small","Resistor_SMD:R_0805_2012Metric","Resistor, small symbol",""
"R2, R3, ","2","1k","R_Small","Resistor_SMD:R_0805_2012Metric","Resistor, small symbol",""
"R4, ","1","1.5k","R_Small","Resistor_SMD:R_0805_2012Metric","Resistor, small symbol",""
"R7, ","1","10k","R_Small","Resistor_SMD:R_0805_2012Metric","Resistor, small symbol",""
"R8, R9, ","2","47R","R_Small","Resistor_SMD:R_0805_2012Metric","Resistor, small symbol",""
"R10, R12, ","2","100k","R_Small","Resistor_SMD:R_0805_2012Metric","Resistor, small symbol",""
"R11, ","1","560R","R_Small","Resistor_SMD:R_0805_2012Metric","Resistor, small symbol",""
"RV1, ","1","A100K","R_Potentiometer","Potentiometer_THT:Potentiometer_Alpha_RD901F-40-00D_Single_Vertical","Potentiometer",""
"RV2, ","1","B1k","R_Potentiometer","Potentiometer_THT:Potentiometer_Alpha_RD901F-40-00D_Single_Vertical","Potentiometer",""
"RV3, ","1","A100k","R_Potentiometer","Potentiometer_THT:Potentiometer_Alpha_RD901F-40-00D_Single_Vertical","Potentiometer",""
"U1, ","1","LM308N","CA3130","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","15MHz, BiMOS Operational Amplifier with MOSFET Input/CMOS Output, DIP-8/SOIC-8",""
